NewQuestion,WR
"ID,"
"Title,"
QuestionText,What is the capital of Australia?
"Points,"
"Difficulty,"
"Image,"
"InitialText,"
"AnswerKey,"
NewQuestion,WR
"ID,"
"Title,"
QuestionText,a. Sydney
"Points,"
"Difficulty,"
"Image,"
"InitialText,"
"AnswerKey,"
NewQuestion,WR
"ID,"
"Title,"
QuestionText,b. Melbourne
"Points,"
"Difficulty,"
"Image,"
"InitialText,"
"AnswerKey,"
NewQuestion,WR
"ID,"
"Title,"
QuestionText,c. Canberra
"Points,"
"Difficulty,"
"Image,"
"InitialText,"
"AnswerKey,"
NewQuestion,WR
"ID,"
"Title,"
QuestionText,d. Adelaide
"Points,"
"Difficulty,"
"Image,"
"InitialText,"
"AnswerKey,"
NewQuestion,WR
"ID,"
"Title,"
QuestionText,+++
"Points,"
"Difficulty,"
"Image,"
"InitialText,"
"AnswerKey,"
NewQuestion,WR
"ID,"
"Title,"
QuestionText,What is the capital of Australia?
"Points,"
"Difficulty,"
"Image,"
"InitialText,"
"AnswerKey,"
NewQuestion,WR
"ID,"
"Title,"
QuestionText,a. Sydney
"Points,"
"Difficulty,"
"Image,"
"InitialText,"
"AnswerKey,"
NewQuestion,WR
"ID,"
"Title,"
QuestionText,b. Melbourne
"Points,"
"Difficulty,"
"Image,"
"InitialText,"
"AnswerKey,"
NewQuestion,WR
"ID,"
"Title,"
QuestionText,c. Canberra
"Points,"
"Difficulty,"
"Image,"
"InitialText,"
"AnswerKey,"
NewQuestion,WR
"ID,"
"Title,"
QuestionText,d. Adelaide
"Points,"
"Difficulty,"
"Image,"
"InitialText,"
"AnswerKey,"
NewQuestion,WR
"ID,"
"Title,"
QuestionText,Answer c
"Points,"
"Difficulty,"
"Image,"
"InitialText,"
"AnswerKey,"
NewQuestion,WR
"ID,"
"Title,"
QuestionText,+++
"Points,"
"Difficulty,"
"Image,"
"InitialText,"
"AnswerKey,"
NewQuestion,WR
"ID,"
"Title,"
QuestionText,What colour is the sky?
"Points,"
"Difficulty,"
"Image,"
"InitialText,"
"AnswerKey,"
NewQuestion,WR
"ID,"
"Title,"
QuestionText,Azure or blue; orange
"Points,"
"Difficulty,"
"Image,"
"InitialText,"
"AnswerKey,"
NewQuestion,WR
"ID,"
"Title,"
QuestionText,+++
"Points,"
"Difficulty,"
"Image,"
"InitialText,"
"AnswerKey,"
NewQuestion,SA
"ID,"
"Title,"
QuestionText,Write the value of the 5 in the number 8526.
"Points,"
"Difficulty,"
"Image,"
Answer,100,500
"Hint,"
"Feedback,"

NewQuestion,WR
"ID,"
"Title,"
QuestionText,+++
"Points,"
"Difficulty,"
"Image,"
"InitialText,"
"AnswerKey,"
NewQuestion,SA
"ID,"
"Title,"
QuestionText,Write the value of the 7 in the number 97 450.
"Points,"
"Difficulty,"
"Image,"
Answer,100,7000
Answer,100,7 000
Answer,100,"7,000"
"Hint,"
"Feedback,"

NewQuestion,WR
"ID,"
"Title,"
QuestionText,+++
"Points,"
"Difficulty,"
"Image,"
"InitialText,"
"AnswerKey,"
NewQuestion,SA
"ID,"
"Title,"
QuestionText,"Write this as a number. 7 tens of thousands, 4 hundreds and 2 ones"
"Points,"
"Difficulty,"
"Image,"
Answer,100,70402
Answer,100,70 402
Answer,100,"70,402"
"Hint,"
"Feedback,"

NewQuestion,WR
"ID,"
"Title,"
QuestionText,+++
"Points,"
"Difficulty,"
"Image,"
"InitialText,"
"AnswerKey,"
NewQuestion,WR
"ID,"
"Title,"
QuestionText,9 + 6 =
"Points,"
"Difficulty,"
"Image,"
"InitialText,"
"AnswerKey,"
NewQuestion,WR
"ID,"
"Title,"
QuestionText,15
"Points,"
"Difficulty,"
"Image,"
"InitialText,"
"AnswerKey,"
NewQuestion,WR
"ID,"
"Title,"
QuestionText,+++
"Points,"
"Difficulty,"
"Image,"
"InitialText,"
"AnswerKey,"
NewQuestion,SA
"ID,"
"Title,"
QuestionText,16 + 7 =
"Points,"
"Difficulty,"
"Image,"
Answer,100,23
"Hint,"
"Feedback,"

NewQuestion,WR
"ID,"
"Title,"
QuestionText,---
"Points,"
"Difficulty,"
"Image,"
"InitialText,"
"AnswerKey,"
NewQuestion,SA
"ID,"
"Title,"
QuestionText,24 + 5 =
"Points,"
"Difficulty,"
"Image,"
Answer,100,29
"Hint,"
"Feedback,"

NewQuestion,WR
"ID,"
"Title,"
QuestionText,---
"Points,"
"Difficulty,"
"Image,"
"InitialText,"
"AnswerKey,"
NewQuestion,WR
"ID,"
"Title,"
QuestionText,628 - 284 =  344
"Points,"
"Difficulty,"
"Image,"
"InitialText,"
"AnswerKey,"
NewQuestion,WR
"ID,"
"Title,"
QuestionText,---
"Points,"
"Difficulty,"
"Image,"
"InitialText,"
"AnswerKey,"
NewQuestion,TF
"ID,"
"Title,"
QuestionText,The Earth is the only planet in our solar system with liquid water on its surface. 
"Points,"
"Difficulty,"
"Image,"
TRUE,0
FALSE,100
"Hint,"
"Feedback,"

NewQuestion,WR
"ID,"
"Title,"
QuestionText,---
"Points,"
"Difficulty,"
"Image,"
"InitialText,"
"AnswerKey,"
NewQuestion,WR
"ID,"
"Title,"
QuestionText,What is the colour of grass?
"Points,"
"Difficulty,"
"Image,"
"InitialText,"
"AnswerKey,"
NewQuestion,WR
"ID,"
"Title,"
QuestionText,answer green or brown
"Points,"
"Difficulty,"
"Image,"
"InitialText,"
"AnswerKey,"
NewQuestion,WR
"ID,"
"Title,"
QuestionText,---
"Points,"
"Difficulty,"
"Image,"
"InitialText,"
"AnswerKey,"
NewQuestion,WR
"ID,"
"Title,"
QuestionText,Short answer no question mark
"Points,"
